,auroc_in_hotspot,auprc_in_hotspot,auroc_ex_hotspot,auprc_ex_hotspot,auroc_in_pcorr,auprc_in_pcorr,auroc_ex_pcorr,auprc_ex_pcorr,auroc_in_scorr,auprc_in_scorr,auroc_ex_scorr,auprc_ex_scorr,auroc_in_celcomen,auprc_in_celcomen,auroc_ex_celcomen,auprc_ex_celcomen,gen_func,adj_func,ex_in_same
0,0.5,0.7309523809523808,0.5,0.7309523809523808,0.5,0.7742346938775511,0.5,0.7742346938775511,0.5476190476190477,0.7922619047619048,0.5476190476190477,0.7922619047619048,0.47619047619047616,0.7583333333333333,0.45238095238095244,0.7604591836734693,gen_binary_any,adj_negispos,same_true
1,0.8,0.6266666666666667,0.8,0.6266666666666667,0.0,0.30436507936507934,0.0,0.30436507936507934,0.0,0.30436507936507934,0.0,0.30436507936507934,0.11999999999999997,0.3,0.15999999999999998,0.3352380952380952,gen_binary_any,adj_negispos,same_true
2,0.4523809523809524,0.7476190476190476,0.4523809523809524,0.7476190476190476,0.6428571428571429,0.8207482993197279,0.6428571428571429,0.8207482993197279,0.6904761904761905,0.8322562358276644,0.6904761904761905,0.8322562358276644,0.5952380952380952,0.8071428571428572,0.5476190476190477,0.7863945578231293,gen_binary_any,adj_negispos,same_true
3,0.5833333333333333,0.5972222222222222,0.5833333333333333,0.5972222222222222,0.29166666666666663,0.5866402116402116,0.29166666666666663,0.5866402116402116,0.3333333333333333,0.5985449735449735,0.3333333333333333,0.5985449735449735,0.3333333333333333,0.5833333333333334,0.4375,0.6327380952380952,gen_binary_any,adj_negispos,same_true
4,0.5,0.7702380952380952,0.5,0.7702380952380952,0.5,0.7742346938775511,0.5,0.7742346938775511,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7892857142857143,0.5238095238095237,0.7785714285714286,gen_binary_any,adj_negispos,same_true
0,0.40476190476190477,0.6880952380952381,0.64,0.7416666666666667,0.6904761904761905,0.8322562358276644,0.48,0.5973015873015873,0.5476190476190477,0.7865646258503401,0.6000000000000001,0.6422222222222222,0.47619047619047616,0.7583333333333333,0.4,0.5650000000000001,gen_binary_any,adj_negispos,same_false
1,1.0,1.0,0.3125,0.784375,0.11999999999999997,0.32591269841269843,0.875,0.9685019841269842,0.11999999999999997,0.32591269841269843,0.875,0.9685019841269842,0.11999999999999997,0.3,0.6875,0.9148809523809524,gen_binary_any,adj_negispos,same_false
2,0.40476190476190477,0.6880952380952381,0.53125,0.84375,0.45238095238095244,0.7610544217687074,0.53125,0.839608134920635,0.6428571428571429,0.8207482993197279,0.34375,0.7969246031746031,0.5952380952380952,0.8071428571428572,0.40625,0.8110119047619047,gen_binary_any,adj_negispos,same_false
3,0.5833333333333333,0.7416666666666666,0.7142857142857144,0.875,0.45833333333333337,0.6432208994708994,0.380952380952381,0.6841836734693877,0.45833333333333337,0.6432208994708994,0.380952380952381,0.6841836734693877,0.41666666666666663,0.6166666666666667,0.35714285714285715,0.6761904761904761,gen_binary_any,adj_negispos,same_false
4,0.35714285714285715,0.6642857142857141,0.46875,0.7916666666666666,0.45238095238095244,0.7539965986394558,0.46875,0.8268353174603174,0.45238095238095244,0.7539965986394558,0.46875,0.8268353174603174,0.5476190476190477,0.7892857142857143,0.4375,0.8125,gen_binary_any,adj_negispos,same_false
0,0.59375,0.5916666666666667,0.59375,0.5916666666666667,0.53125,0.4125,0.53125,0.4125,0.5,0.4041666666666667,0.5,0.4041666666666667,0.5,0.4041666666666667,0.4375,0.39375,gen_binary_any,adj_negiszero,same_true
1,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,gen_binary_any,adj_negiszero,same_true
