,device,n_cells,seed,duration
0,cpu,20,0,2.4142000675201416
1,cpu,20,1,1.4244942665100098
2,cpu,20,2,1.405935287475586
3,cpu,20,3,1.4267501831054688
4,cpu,20,4,1.426389217376709
5,cpu,50,0,1.536987066268921
6,cpu,50,1,1.4924015998840332
7,cpu,50,2,1.4503085613250732
8,cpu,50,3,1.4400992393493652
9,cpu,50,4,1.4435522556304932
10,cpu,100,0,1.5327262878417969
11,cpu,100,1,1.4703235626220703
12,cpu,100,2,1.5378832817077637
13,cpu,100,3,1.5369822978973389
14,cpu,100,4,1.510500192642212
15,cpu,200,0,1.7319252490997314
16,cpu,200,1,1.6347389221191406
17,cpu,200,2,1.6156163215637207
18,cpu,200,3,1.6199471950531006
19,cpu,200,4,3.1241705417633057
20,cpu,500,0,4.656761646270752
21,cpu,500,1,1.982377529144287
22,cpu,500,2,1.9557087421417236
23,cpu,500,3,2.065762996673584
24,cpu,500,4,2.1264259815216064
25,cpu,1000,0,3.585089921951294
26,cpu,1000,1,3.5538806915283203
27,cpu,1000,2,2.7344870567321777
28,cpu,1000,3,4.219850301742554
29,cpu,1000,4,4.238195180892944
30,cpu,2000,0,7.879278182983398
31,cpu,2000,1,8.098180294036865
32,cpu,2000,2,7.984798192977905
33,cpu,2000,3,7.397860527038574
34,cpu,2000,4,7.6298582553863525
35,cpu,5000,0,24.566694974899292
36,cpu,5000,1,23.33566451072693
37,cpu,5000,2,23.145569801330566
38,cpu,5000,3,26.02701711654663
39,cpu,5000,4,25.285369396209717
40,cpu,10000,0,69.82897329330444
41,cpu,10000,1,68.75175046920776
42,cpu,10000,2,67.74097418785095
43,cpu,10000,3,69.16974425315857
44,cpu,10000,4,69.10930442810059
45,cpu,20000,0,232.60185313224792
46,cpu,20000,1,229.53941249847412
47,cpu,20000,2,229.966317653656
48,cpu,20000,3,234.00066256523132
49,cpu,20000,4,231.22298526763916
50,cuda,20,0,3.2036781311035156
51,cuda,20,1,2.838198661804199
52,cuda,20,2,2.841209650039673
53,cuda,20,3,2.8398449420928955
54,cuda,20,4,2.8421857357025146
55,cuda,50,0,2.8706109523773193
56,cuda,50,1,2.888319253921509
57,cuda,50,2,2.8843820095062256
58,cuda,50,3,2.877321720123291
59,cuda,50,4,2.85103178024292
60,cuda,100,0,2.745417594909668
61,cuda,100,1,2.699758768081665
62,cuda,100,2,2.66267466545105
63,cuda,100,3,2.688107490539551
64,cuda,100,4,2.5696778297424316
65,cuda,200,0,2.5147933959960938
66,cuda,200,1,2.2221627235412598
67,cuda,200,2,2.3826186656951904
68,cuda,200,3,2.4088521003723145
69,cuda,200,4,2.4324135780334473
70,cuda,500,0,2.236144781112671
71,cuda,500,1,2.475377321243286
72,cuda,500,2,2.440981388092041
73,cuda,500,3,2.1563608646392822
74,cuda,500,4,2.409806489944458
75,cuda,1000,0,2.720050811767578
76,cuda,1000,1,2.439600944519043
77,cuda,1000,2,2.630976438522339
78,cuda,1000,3,2.5595123767852783
79,cuda,1000,4,2.71171236038208
80,cuda,2000,0,2.821770429611206
81,cuda,2000,1,3.100741147994995
82,cuda,2000,2,2.837628126144409
83,cuda,2000,3,3.0098464488983154
84,cuda,2000,4,3.103855609893799
85,cuda,5000,0,4.782192230224609
86,cuda,5000,1,4.772888422012329
87,cuda,5000,2,4.762757062911987
88,cuda,5000,3,5.140820741653442
89,cuda,5000,4,5.143595933914185
90,cuda,10000,0,10.925551891326904
91,cuda,10000,1,10.907627582550049
92,cuda,10000,2,10.998985290527344
93,cuda,10000,3,11.254650831222534
94,cuda,10000,4,11.540809392929077
95,cuda,20000,0,30.715816974639893
96,cuda,20000,1,29.62377119064331
97,cuda,20000,2,30.182880640029907
98,cuda,20000,3,30.48904013633728
99,cuda,20000,4,30.28795313835144
