,device,n_cells,seed,duration
0,cpu,100,0,2.6505215167999268
1,cpu,100,1,1.434509515762329
2,cpu,100,2,1.4153685569763184
3,cpu,100,3,1.4162507057189941
4,cpu,100,4,1.4180355072021484
5,cpu,200,0,1.6092135906219482
6,cpu,200,1,1.5759623050689697
7,cpu,200,2,1.7202303409576416
8,cpu,200,3,1.5989320278167725
9,cpu,200,4,1.5970284938812256
10,cpu,500,0,2.060724973678589
11,cpu,500,1,2.0809755325317383
12,cpu,500,2,2.0821144580841064
13,cpu,500,3,2.183469772338867
14,cpu,500,4,2.1605563163757324
15,cpu,1000,0,4.749467372894287
16,cpu,1000,1,3.4780964851379395
17,cpu,1000,2,4.132933139801025
18,cpu,1000,3,4.171603679656982
19,cpu,1000,4,3.453176736831665
20,cpu,2000,0,7.699584484100342
21,cpu,2000,1,7.346834421157837
22,cpu,2000,2,6.696337938308716
23,cpu,2000,3,7.567895889282227
24,cpu,2000,4,7.012156248092651
25,cpu,5000,0,23.355550050735474
26,cpu,5000,1,31.691711902618408
27,cpu,5000,2,24.588088512420654
28,cpu,5000,3,24.25402069091797
29,cpu,5000,4,24.320583820343018
30,cpu,10000,0,74.73765349388123
31,cpu,10000,1,78.85886335372925
32,cpu,10000,2,75.98315834999084
33,cpu,10000,3,73.99366092681885
34,cpu,10000,4,72.60633778572083
35,cpu,20000,0,276.40109634399414
36,cpu,20000,1,256.39901542663574
37,cpu,20000,2,262.491149187088
38,cpu,20000,3,267.2724242210388
39,cpu,20000,4,270.4110541343689
40,cpu,50000,0,1447.8770899772644
41,cpu,50000,1,1428.5301916599274
42,cpu,50000,2,1455.2853350639343
43,cpu,50000,3,1447.7361063957214
44,cpu,50000,4,1483.100640296936
45,cpu,100000,0,5383.859315872192
46,cpu,100000,1,5204.7144067287445
47,cpu,100000,2,5000.5670301914215
48,cpu,100000,3,4977.59038567543
49,cpu,100000,4,5058.7213253974915
50,cuda,100,0,4.425435304641724
51,cuda,100,1,2.5675437450408936
52,cuda,100,2,2.610386610031128
53,cuda,100,3,2.4119555950164795
54,cuda,100,4,2.6967849731445312
55,cuda,200,0,2.7151284217834473
56,cuda,200,1,2.6938371658325195
57,cuda,200,2,2.739776134490967
58,cuda,200,3,2.7024781703948975
59,cuda,200,4,2.723646879196167
60,cuda,500,0,2.6596004962921143
61,cuda,500,1,2.3427867889404297
62,cuda,500,2,2.6866841316223145
63,cuda,500,3,2.723928928375244
64,cuda,500,4,2.3786888122558594
65,cuda,1000,0,2.8357462882995605
66,cuda,1000,1,2.4767704010009766
67,cuda,1000,2,2.844231605529785
68,cuda,1000,3,2.456494092941284
69,cuda,1000,4,2.9364023208618164
70,cuda,2000,0,3.3558483123779297
71,cuda,2000,1,3.2899866104125977
72,cuda,2000,2,3.959648370742798
73,cuda,2000,3,4.376936197280884
74,cuda,2000,4,4.6452858448028564
75,cuda,5000,0,5.73242974281311
76,cuda,5000,1,5.819872140884399
77,cuda,5000,2,5.003049850463867
78,cuda,5000,3,4.671013832092285
79,cuda,5000,4,4.976686239242554
80,cuda,10000,0,10.685579299926758
81,cuda,10000,1,11.0345938205719
82,cuda,10000,2,10.945507287979126
83,cuda,10000,3,11.080767154693604
84,cuda,10000,4,11.290249109268188
85,cuda,20000,0,29.788202047348022
86,cuda,20000,1,30.188158988952637
87,cuda,20000,2,29.917930364608765
88,cuda,20000,3,30.803561687469482
89,cuda,20000,4,30.552417755126953
