,device,n_genes,seed,duration
34,cuda,100,4,0.9769260883331299
32,cuda,100,2,0.971611738204956
31,cuda,100,1,0.9438347816467285
30,cuda,100,0,0.98673415184021
33,cuda,100,3,0.9773139953613281
0,cuda,200,0,2.4155023097991943
1,cuda,200,1,1.7772212028503418
2,cuda,200,2,1.7284741401672363
4,cuda,200,4,1.547825813293457
3,cuda,200,3,1.559983253479004
6,cuda,500,1,3.5610857009887695
7,cuda,500,2,3.624469757080078
8,cuda,500,3,3.483748435974121
9,cuda,500,4,3.7275962829589844
5,cuda,500,0,3.723332166671753
13,cuda,1000,3,7.265685796737671
12,cuda,1000,2,7.608445882797241
14,cuda,1000,4,7.606213331222534
10,cuda,1000,0,7.31292462348938
11,cuda,1000,1,7.334104776382446
17,cuda,2000,2,15.227802753448486
18,cuda,2000,3,15.877470970153809
16,cuda,2000,1,15.440337181091309
15,cuda,2000,0,15.377578973770142
19,cuda,2000,4,15.450155973434448
23,cuda,5000,3,47.8536913394928
21,cuda,5000,1,47.06918263435364
20,cuda,5000,0,47.36609363555908
22,cuda,5000,2,46.8934965133667
24,cuda,5000,4,48.26510548591614
28,cuda,10000,3,139.0634639263153
25,cuda,10000,0,139.08994817733765
26,cuda,10000,1,139.31880474090576
27,cuda,10000,2,139.65769457817078
29,cuda,10000,4,138.03724312782288
